Transaction_ID,Date,Region,Product_Variant,Channel,Unit_Price,Units_Sold,Marketing_Spend,Logistics_Delay,Customer_Score
RB07111,2024-01-21,TH-CENTRAL,Sugarfree,Social Media,90,583,23007.54,1,4.0
RB00600,2023-07-09,TH-EAST,Original Blue,extreme sports,80,15329,22880.11,1,6.0
RB04224,2023-05-21,TH-CENTRAL,Tropical Edition,f1 sponsorship,85,597,39584.39,3,5.0
RB06860,2024-05-07,TH-SOUTH,Red Edition,TV Ad,75,524,37201.84,2,6.0
RB00816,2023-02-26,USA-WEST,Original Blue,f1 sponsorship,80,561,52107.39,2,8.0
RB00316,2024-11-05,USA-EAST,Red Edition,in-store promo,75,517,20497.63,2,7.0
RB05284,2023-05-07,TH-NORTH,Red Edition,extreme sports,75,717,40635.89,1,6.0
RB00995,2023-03-14,EUROPE-EU,Tropical Edition,extreme sports,85,536,35024.5,1,10.0
RB00254,2024-02-05,TH-SOUTH,Sugarfree,Social Media,90,437,18787.02,2,10.0
RB02317,2024-05-05,TH-NORTH,Original Blue,TV Ad,80,633,29887.94,2,6.0
RB04278,2023-11-23,TH-NORTH,Krating Daeng 250,TV Ad,60,481,9317.7,1,8.0
RB04560,2024-03-01,TH-EAST,Krating Daeng 250,extreme sports,60,472,20890.04,3,2.0
RB01100,2023-04-30,TH-NORTH,Tropical Edition,TV Ad,85,473,32730.53,2,5.0
RB07827,2024-06-29,TH-NORTH,Tropical Edition,in-store promo,85,562,32658.19,1,9.0
RB01325,2024-03-26,USA-WEST,Sugarfree,extreme sports,90,478,16341.55,1,6.0
RB07670,2024-01-30,USA-WEST,Krating Daeng 250,extreme sports,60,678,20606.18,2,7.0
RB09274,2023-07-15,TH-SOUTH,Sugarfree,Social Media,90,689,9916.44,3,4.0
RB04014,2023-03-27,TH-NORTH,Sugarfree,extreme sports,90,636,48691.57,1,6.0
RB07213,2024-01-28,USA-EAST,Krating Daeng 250,f1 sponsorship,60,595,28310.07,3,5.0
RB05556,2023-05-03,USA-WEST,Sugarfree,TV Ad,90,481,20812.17,5,1.0
RB06275,2024-03-26,TH-EAST,Original Blue,Social Media,80,437,25182.26,3,7.0
RB04016,2023-08-31,USA-EAST,Sugarfree,in-store promo,90,506,41191.31,1,8.0
RB00895,2024-05-13,USA-WEST,Sugarfree,TV Ad,90,543,49038.4,5,6.0
RB05925,2023-04-24,EUROPE-EU,Sugarfree,extreme sports,90,653,55746.32,3,6.0
RB08235,2024-04-16,TH-SOUTH,Tropical Edition,Social Media,85,568,38330.45,3,9.0
RB05046,2024-09-07,TH-SOUTH,Red Edition,extreme sports,75,340,41268.7,2,3.0
RB06768,2024-11-21,ASIA-PACIFIC,Original Blue,extreme sports,80,708,39354.45,3,10.0
RB06369,2023-11-16,TH-CENTRAL,Tropical Edition,TV Ad,85,688,50561.12,1,3.0
RB05245,2024-11-01,TH-SOUTH,Red Edition,in-store promo,75,574,30866.09,4,9.0
RB02066,2024-11-26,TH-SOUTH,Krating Daeng 250,extreme sports,60,513,51993.92,2,7.0
RB07798,2024-09-09,TH-NORTH,Original Blue,f1 sponsorship,80,649,30091.24,4,1.0
RB04154-DUP,2024-04-26,TH-CENTRAL,Krating Daeng 250,TV Ad,60,481,19820.89,1,6.0
RB04989,2023-01-30,USA-EAST,Tropical Edition,extreme sports,85,715,33377.59,2,6.0
RB00807,2023-05-06,TH-EAST,Red Edition,Social Media,75,570,39869.85,2,8.0
RB04987,2023-06-10,USA-EAST,Krating Daeng 250,extreme sports,60,578,25991.11,1,6.0
RB08994,2024-05-28,TH-CENTRAL,Sugarfree,in-store promo,90,495,51243.32,3,6.0
RB06081,2023-07-02,EUROPE-EU,Original Blue,extreme sports,80,382,49233.66,5,6.0
RB09271,2023-05-09,USA-EAST,Sugarfree,TV Ad,90,475,32060.57,1,6.0
RB05726,2024-07-12,TH-SOUTH,Krating Daeng 250,Social Media,60,675,53235.92,1,4.0
RB05618,2023-03-16,TH-EAST,Original Blue,in-store promo,80,588,45581.09,2,3.0
RB08384,2023-11-29,USA-EAST,Tropical Edition,Social Media,85,659,39448.15,2,9.0
RB05096,2024-11-03,USA-EAST,Original Blue,f1 sponsorship,80,664,25976.04,3,6.0
RB00969,2023-04-16,TH-SOUTH,Tropical Edition,TV Ad,85,409,44668.5,0,9.0
RB04034,2023-03-11,USA-EAST,Tropical Edition,extreme sports,85,583,15956.24,1,6.0
RB00636,2024-11-03,TH-CENTRAL,Tropical Edition,extreme sports,85,594,16568.55,1,8.0
RB05893,2024-03-11,EUROPE-EU,Tropical Edition,extreme sports,85,763,59505.42,1,2.0
RB08051,2024-11-21,TH-CENTRAL,Sugarfree,Social Media,90,522,8315.01,2,6.0
RB04597,2024-09-23,TH-CENTRAL,Red Edition,Social Media,75,306,7230.88,1,4.0
RB01136,2024-08-05,TH-CENTRAL,Sugarfree,TV Ad,90,491,56952.32,5,3.0
RB05681,2024-07-31,TH-CENTRAL,Tropical Edition,extreme sports,85,390,25579.32,2,5.0
RB08642,2023-04-25,TH-SOUTH,Original Blue,Social Media,80,690,42851.06,2,5.0
RB04187,2023-07-01,TH-CENTRAL,Krating Daeng 250,TV Ad,60,495,6696.65,4,10.0
RB02574,2024-04-04,TH-NORTH,Sugarfree,f1 sponsorship,90,502,8216.17,2,7.0
RB01435,2023-10-07,EUROPE-EU,Original Blue,f1 sponsorship,80,581,21968.91,3,10.0
RB02735,2024-09-24,TH-NORTH,Krating Daeng 250,f1 sponsorship,60,694,20659.25,0,4.0
RB06057,2023-10-30,TH-SOUTH,Original Blue,TV Ad,80,578,57413.94,2,3.0
RB04055,2023-12-15,TH-EAST,Tropical Edition,extreme sports,85,615,23940.82,2,7.0
RB03127,2023-10-22,TH-NORTH,Red Edition,TV Ad,75,632,40030.87,3,7.0
RB01782,2023-02-19,ASIA-PACIFIC,Tropical Edition,f1 sponsorship,85,590,36189.85,2,8.0
RB02376,2024-08-14,TH-EAST,Krating Daeng 250,Social Media,60,495,23802.84,3,7.0
RB06482,2024-09-24,ASIA-PACIFIC,Red Edition,TV Ad,75,604,54137.53,4,10.0
RB01469,2024-04-18,TH-EAST,Tropical Edition,extreme sports,85,369,51597.43,1,7.0
RB08990,2024-09-11,EUROPE-EU,Sugarfree,in-store promo,90,641,45539.29,2,6.0
RB04774,2023-06-25,USA-EAST,Original Blue,TV Ad,80,420,43394.96,3,3.0
RB02960,2024-09-14,TH-NORTH,Krating Daeng 250,extreme sports,60,646,8871.92,0,7.0
RB06894,2024-09-20,TH-EAST,Sugarfree,extreme sports,90,634,20631.39,4,10.0
RB04129,2023-12-09,USA-EAST,Red Edition,extreme sports,75,674,28595.25,2,6.0
RB09048,2024-09-13,USA-WEST,Krating Daeng 250,in-store promo,60,586,45523.53,2,9.0
RB03605,2024-10-10,EUROPE-EU,Tropical Edition,in-store promo,85,566,5265.06,2,7.0
RB03644,2023-07-13,EUROPE-EU,Red Edition,TV Ad,75,627,37319.49,2,9.0
RB03614,2023-10-16,TH-CENTRAL,Krating Daeng 250,extreme sports,60,566,23158.56,2,9.0
RB06798,2023-06-05,USA-WEST,Original Blue,f1 sponsorship,80,660,37300.9,4,4.0
RB07704-DUP,2023-09-30,TH-CENTRAL,Sugarfree,in-store promo,90,605,34077.35,0,7.0
RB03324,2023-07-05,TH-CENTRAL,Sugarfree,TV Ad,90,500,24665.83,1,8.0
RB03849,2023-09-23,TH-CENTRAL,Tropical Edition,Social Media,85,759,45755.57,2,8.0
RB03366,2023-05-28,EUROPE-EU,Red Edition,extreme sports,75,481,24376.63,1,4.0
RB08682,2024-01-22,TH-NORTH,Tropical Edition,f1 sponsorship,85,789,31761.67,3,7.0
RB04262,2023-09-10,USA-EAST,Krating Daeng 250,f1 sponsorship,60,610,26338.02,2,2.0
RB04407,2023-05-06,EUROPE-EU,Original Blue,TV Ad,80,555,59199.65,4,4.0
RB07074,2023-11-16,TH-EAST,Sugarfree,Social Media,90,551,6389.53,1,7.0
RB03937,2023-04-13,TH-NORTH,Original Blue,Social Media,80,775,8743.7,0,6.0
RB06717,2024-10-13,TH-CENTRAL,Original Blue,TV Ad,80,729,37064.06,1,4.0
RB01866,2023-06-06,TH-EAST,Original Blue,Social Media,80,604,45899.44,4,6.0
RB05774,2023-05-28,USA-WEST,Original Blue,f1 sponsorship,80,409,46244.83,1,1.0
RB06940,2023-11-10,TH-CENTRAL,Tropical Edition,TV Ad,85,596,36510.71,2,6.0
RB04688,2024-09-30,TH-CENTRAL,Sugarfree,Social Media,90,847,7032.4,3,7.0
RB00090,2023-10-10,TH-CENTRAL,Original Blue,Social Media,80,706,12855.12,2,10.0
RB01542,2024-11-14,TH-NORTH,Krating Daeng 250,TV Ad,60,757,32667.46,2,6.0
RB05988,2024-11-26,TH-SOUTH,Tropical Edition,Social Media,85,484,24356.86,5,3.0
RB02244,2023-01-02,TH-SOUTH,Original Blue,f1 sponsorship,80,400,59245.08,2,4.0
RB08930,2023-07-23,TH-SOUTH,Tropical Edition,Social Media,85,354,55990.34,2,6.0
RB01024,2024-05-03,USA-EAST,Sugarfree,Social Media,90,563,44481.82,3,6.0
RB08894,2024-04-02,EUROPE-EU,Original Blue,extreme sports,80,708,32329.18,3,8.0
RB09010,2023-05-06,TH-NORTH,Tropical Edition,TV Ad,85,553,58639.74,4,6.0
RB06516,2023-08-17,USA-WEST,Krating Daeng 250,extreme sports,60,608,30059.23,44,9.0
RB04618,2024-09-02,TH-NORTH,Tropical Edition,f1 sponsorship,85,582,54423.65,3,2.0
RB07514,2023-08-04,TH-NORTH,Tropical Edition,in-store promo,85,833,11966.22,4,6.0
RB08708,2024-08-25,USA-EAST,Tropical Edition,Social Media,85,367,55859.88,2,4.0
RB05648,2023-07-22,TH-SOUTH,Red Edition,in-store promo,75,755,12969.3,5,10.0
RB08499,2024-11-03,TH-NORTH,Sugarfree,Social Media,90,489,36743.75,3,10.0
RB07100,2024-02-22,TH-NORTH,Krating Daeng 250,TV Ad,60,541,49711.25,2,7.0
RB01947,2023-09-16,EUROPE-EU,Original Blue,TV Ad,80,503,23374.26,1,8.0
RB02021,2024-07-31,USA-EAST,Original Blue,f1 sponsorship,80,529,17628.36,2,5.0
RB00616,2024-12-22,TH-NORTH,Red Edition,in-store promo,75,771,44573.71,2,6.0
RB02771,2023-12-13,TH-NORTH,Tropical Edition,extreme sports,85,580,32658.19,2,6.0
RB05124,2024-12-21,USA-EAST,Tropical Edition,in-store promo,85,648,58637.96,5,8.0
RB05068,2023-01-20,TH-CENTRAL,Original Blue,Social Media,80,588,10991.79,2,5.0
RB04003,2023-07-15,TH-NORTH,Original Blue,TV Ad,80,476,16950.77,3,4.0
RB01962,2023-11-22,USA-EAST,Original Blue,f1 sponsorship,80,363,17158.65,3,7.0
RB07686,2024-04-09,TH-CENTRAL,Tropical Edition,in-store promo,85,587,24067.8,3,5.0
RB01499,2023-08-13,TH-CENTRAL,Sugarfree,extreme sports,90,581,23417.49,3,9.0
RB02581,2023-09-15,TH-SOUTH,Original Blue,f1 sponsorship,80,496,30617.01,2,8.0
RB08167,2023-09-14,USA-WEST,Original Blue,Social Media,80,765,22759.55,0,7.0
RB01504,2024-03-24,USA-EAST,Original Blue,extreme sports,80,462,11467.69,2,7.0
RB09341,2023-11-04,TH-CENTRAL,Original Blue,in-store promo,80,747,18389.95,3,4.0
RB07292,2024-10-07,ASIA-PACIFIC,Red Edition,Social Media,75,452,7342.35,2,8.0
RB08598,2024-04-21,EUROPE-EU,Red Edition,f1 sponsorship,75,429,32658.19,4,7.0
RB05426,2024-03-03,USA-EAST,Sugarfree,in-store promo,90,690,20824.89,3,6.0
RB07284,2023-12-14,TH-EAST,Krating Daeng 250,f1 sponsorship,60,637,29223.73,3,5.0
RB01085,2023-02-02,TH-CENTRAL,Original Blue,Social Media,80,596,22230.78,2,6.0
RB02299,2023-05-23,USA-EAST,Krating Daeng 250,Social Media,60,568,28270.14,1,7.0
RB08164,2023-06-11,USA-WEST,Tropical Edition,f1 sponsorship,85,573,58134.44,2,4.0
RB05819,2024-11-12,TH-SOUTH,Original Blue,TV Ad,80,573,41090.53,1,6.0
RB05033,2023-11-12,EUROPE-EU,Red Edition,extreme sports,75,624,29156.66,3,9.0
RB00783,2024-06-17,USA-EAST,Sugarfree,in-store promo,90,289,48264.46,3,10.0
RB01656,2024-01-02,TH-SOUTH,Red Edition,TV Ad,75,560,13609.66,2,6.0
RB06703,2023-07-02,EUROPE-EU,Red Edition,TV Ad,75,340,29613.5,2,10.0
RB07319,2023-02-05,USA-WEST,Tropical Edition,f1 sponsorship,85,304,5127.39,2,2.0
RB00851,2023-03-15,TH-EAST,Krating Daeng 250,extreme sports,60,14533,20970.18,3,10.0
RB08866,2023-01-26,TH-CENTRAL,Red Edition,f1 sponsorship,75,619,33438.24,1,8.0
RB01936,2024-12-31,USA-EAST,Original Blue,TV Ad,80,618,57073.56,1,7.0
RB00930,2023-08-21,TH-NORTH,Krating Daeng 250,in-store promo,60,604,32658.19,3,2.0
RB07819,2024-10-04,TH-CENTRAL,Red Edition,TV Ad,75,527,8240.27,3,6.0
RB07942,2023-05-04,USA-EAST,Original Blue,TV Ad,80,268,20985.73,5,7.0
RB04015,2024-02-20,TH-CENTRAL,Tropical Edition,TV Ad,85,542,7534.5,3,8.0
RB05578,2023-03-31,USA-EAST,Krating Daeng 250,extreme sports,60,642,10257.92,4,8.0
RB08312,2023-01-12,EUROPE-EU,Original Blue,TV Ad,80,572,15025.46,3,8.0
RB02177-DUP,2023-01-28,TH-NORTH,Original Blue,extreme sports,80,551,34364.05,0,3.0
RB03981,2024-12-03,TH-NORTH,Krating Daeng 250,in-store promo,60,525,35935.96,4,6.0
RB07223,2024-02-08,TH-SOUTH,Krating Daeng 250,in-store promo,60,699,40425.17,2,3.0
RB04145,2023-10-14,USA-EAST,Original Blue,extreme sports,80,12065,28121.93,2,9.0
RB04244,2024-06-09,USA-WEST,Original Blue,Social Media,80,659,7597.14,2,6.0
RB02397-DUP,2024-12-24,USA-EAST,Krating Daeng 250,TV Ad,60,569,5736.61,1,6.0
RB01994,2023-09-19,TH-CENTRAL,Original Blue,f1 sponsorship,80,686,44796.5,2,8.0
RB07754,2024-11-16,USA-EAST,Krating Daeng 250,TV Ad,60,626,56406.5,4,3.0
RB03392,2023-07-26,EUROPE-EU,Tropical Edition,f1 sponsorship,85,534,29757.48,5,10.0
RB02505,2023-06-23,EUROPE-EU,Sugarfree,in-store promo,90,489,47032.82,0,5.0
RB05253,2023-08-01,TH-EAST,Original Blue,extreme sports,80,516,33163.66,1,8.0
RB04663,2023-11-17,TH-EAST,Krating Daeng 250,extreme sports,60,510,47148.01,1,10.0
RB00510,2024-08-24,TH-EAST,Original Blue,TV Ad,80,450,50759.13,3,3.0
RB04395,2023-12-19,TH-CENTRAL,Tropical Edition,TV Ad,85,357,8649.9,2,6.0
RB02448,2024-10-17,TH-EAST,Krating Daeng 250,extreme sports,60,491,15089.06,3,5.0
RB01448,2023-10-12,USA-WEST,Sugarfree,in-store promo,90,595,32658.19,2,6.0
RB07193,2024-07-25,EUROPE-EU,Sugarfree,Social Media,90,637,37086.71,5,10.0
RB07129,2023-10-08,TH-NORTH,Original Blue,TV Ad,80,322,16602.42,3,10.0
RB02698,2023-06-06,USA-WEST,Original Blue,extreme sports,80,418,42128.07,2,2.0
RB06723,2023-11-29,TH-CENTRAL,Krating Daeng 250,TV Ad,60,577,35767.94,2,5.0
RB01349,2024-03-26,USA-WEST,Original Blue,TV Ad,80,485,12003.44,4,6.0
RB09209,2023-03-09,TH-EAST,Tropical Edition,f1 sponsorship,85,435,34809.7,3,1.0
RB09094,2024-07-09,EUROPE-EU,Krating Daeng 250,in-store promo,60,488,26119.71,0,8.0
RB02732,2023-12-06,TH-NORTH,Krating Daeng 250,TV Ad,60,487,18826.64,1,8.0
RB05560,2024-04-30,TH-CENTRAL,Krating Daeng 250,extreme sports,60,288,27942.82,3,3.0
RB00347,2023-11-26,TH-NORTH,Red Edition,extreme sports,75,774,21845.74,2,7.0
RB03009,2023-08-17,USA-EAST,Red Edition,in-store promo,75,603,21966.15,3,5.0
RB07028,2023-03-31,TH-NORTH,Sugarfree,extreme sports,90,386,53133.09,1,6.0
RB06076,2024-11-23,USA-WEST,Tropical Edition,Social Media,85,578,32178.33,5,6.0
RB02091,2024-04-22,EUROPE-EU,Red Edition,TV Ad,75,610,35282.89,3,6.0
